OBJECTID,contract_number,contract_description,contractor_id,contractor_name,contract_status,contract_type,contract_subtype,last_modified,original_amount,revised_amount,vendor_id,vendor_name,objectid_1,aging,,,
13,91900230,LEGAL SERVICES FOR CDBG PROGRAM                   ,7793,D H GRIFFIN WRECKING,CLOSED,GS   (GEN SERV),,2020/06/12 00:00:00+00,3000,3000,2037,PISGAH LEGAL SERVICES,12,90+,,,
14,91100070,BC HEADLINER - CARAVAN OF THIEVES                 ,8883,KAREN FIELD,CLOSED,ENT  (ENTERTAIN),,2010/07/01 00:00:00+00,1500,1500,10651,"SANGIOVANNI, JAMES",13,90+,,,
15,91400077,CHANGING TOGETHER - RESOURCE COUNSELOR            ,8553,"AXIS SECURITY, INC.",CLOSED,GS   (GEN SERV),,2013/07/24 00:00:00+00,10000,10000,14922,ROBERT L. SIMMONS,14,90+,,,
16,91300242,IPCC CISCO PHONE SYSTEM UPGRADE                   ,26649,BUNCOMBE COUNTY SERVICE FOUNDATION,CLOSED,GS   (GEN SERV),,2013/03/22 00:00:00+00,17252,17252,13965,"CONTINUANT, INC.",15,61-90,,,
17,91600125,PROJECT LIGHTEN UP - SPF GRANT FY 15-16           ,14955,"RHINEHART FAMILY COMPANY, INC.",CLOSED,GS   (GEN SERV),,2017/06/23 00:00:00+00,3500,3317,19132,PROJECT LIGHTEN UP,16,1-30,,,
18,92100157,COVID 19 PUBLIC SPACE MANAGEMENT                  ,34962,SWIM CLUB MANAGEMENT GROUP OF CHARLOTTE,CLOSED,GS   (GEN SERV),,2021/06/07 00:00:00+00,9000,8962.5,31405,"TRAFFIC PLANNING AND DESIGN, INC.",17,31-60,,,
19,91100286,BC 10 STAGE CREW                                  ,21768,EVOKING WISDOM      ,CLOSED,GS   (GEN SERV),,2010/08/03 00:00:00+00,630,630,7136,MICHAEL A TAYLOR,18,31-60,,,
20,91200270,"CONTRACT FOR KATHY MARTH, M.A.                    ",28895,"S & S FENCE & TENNIS COURT BUILDERS, INC.",CLOSED,GENERAL,,2012/03/15 00:00:00+00,500,500,7233,"KATHY MARTH, M. A.",19,Current,,,
21,91000600,WEED & SEED RESOURCE PROVIDER                     ,6656,TURNER MURPHY COMPANY,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,5000,5000,10516,I HAVE A DREAM FOUNDATION,20,61-90,,,
22,91400098,NON-REVENUE WATER MANAGEMENT PROJECT              ,23248,"CCCD PROPERTIES, LLC",CLOSED,GS   (GEN SERV),,2016/06/07 00:00:00+00,151925,243079,4203,CAVANAUGH & ASSOCIATES PA,21,90+,,,
23,91400156,EAGLE MARKET PLACE CONSTRUCTION OVERSIGHT         ,30460,CHRISTOPHER E GERMAN,CLOSED,PRO  (PRO SERVIC),,2015/06/16 00:00:00+00,49500,49500,4574,KIMLEY-HORN AND ASSOCIATES,22,31-60,,,
24,91500286,FORM BASED CODE FOR RIVER ARTS DISTRICT           ,38179,TOM ALBANESE CONSULTING LLC,CLOSED,GS   (GEN SERV),,2020/06/16 00:00:00+00,99980,97259.59,16962,"CODE STUDIO, INC.",23,1-30,,,
25,91400217,DOWNTOWN CLEAN AND GREEN CONTRACT                 ,36502,PRECISE MRM LLC,CLOSED,GS   (GEN SERV),,2014/06/19 00:00:00+00,45600,57209.15,18553,"DEANGELO BROTHERS, INC.",24,31-60,,,
26,92100356,UPGRADE LIGHTING AT BALLFIELDS                    ,32617,"SMARTMAPS, INC.",CLOSED,GS   (GEN SERV),,2021/08/09 00:00:00+00,44885,44885,27294,MUSCO SPORTS LIGHTING,25,61-90,,,
27,92200102,VIRTUAL HARASSMENT TRAINING                       ,11194,"RAFTELIS FINANCIAL CONSULTANTS, INC.",CLOSED,GS   (GEN SERV),,2021/07/16 00:00:00+00,17542.98,17542.98,28140,MEDIA PARTNERS CORP,26,1-30,,,
28,91100621,FY11 MAINTENANCE HP LASERJET 8150HDN - PAYROLL    ,4574,KIMLEY-HORN AND ASSOCIATES,CLOSED,GS   (GEN SERV),,2012/06/28 00:00:00+00,240,63.61,6106,DURALINE IMAGING INC,27,90+,,,
29,91200097,TIGER II E. RIVER PUBLIC PARTICIPATION GO         ,10476,"FIFTH ELEMENT FIRE PROTECTION, LLC",CLOSED,GS   (GEN SERV),,2014/07/31 00:00:00+00,20000,21376.4,9012,GREEN OPPORTUNITIES INC,28,61-90,,,
30,91400061,RISK MANAGEMENT CONSULTANT SERVICES 2013-14       ,30701,"LORD AECK SARGENT, A KATERRA COMPANY, PLLC",CLOSED,GS   (GEN SERV),,2015/06/08 00:00:00+00,12000,3052.5,17071,"COMMERCIAL INSURANCE CONSULTANTS, INC.",29,Current,,,
31,91900301,FY 19 GUARDRAIL INSTALLATION AND MAINTENANCE      ,34307,MELISSA A. ANDERSON,CLOSED,CON  (CONSTUCT/R),,2021/06/15 00:00:00+00,80750,71311.7,19978,"BULLINGTON CONSTRUCTION, INC.",30,90+,,,
32,91600218,                                                  ,11357,"YAPLE, GERALD P.",CLOSED,GS   (GEN SERV),,2017/06/26 00:00:00+00,8064,20160,21537,"DUDE SOLUTIONS, INC.",31,61-90,,,
33,92200002,MASTER CONTRACT RENTAL EQUIPMENT                  ,30070,RSM US LLP,POSTED,RNT  (EQUIP RENT),,2021/08/23 00:00:00+00,85000,85000,23888,"HILLS MACHINERY COMPANY,LLC",32,1-30,,,
34,91500251,INSTALLATION AND MAINTENANCE OF DIGITAL MENU BOARD,29645,"BRITT, PETERS & ASSOCIATES, INC.",CLOSED,GS   (GEN SERV),,2016/12/19 00:00:00+00,80000,77901.44,20306,HYPERSIGN LLC,33,31-60,,,
35,91900249,SHILOH ROOF REPLACEMENT                           ,5189,"VERMONT SYSTEMS, INC.",CLOSED,CON  (CONSTUCT/R),,2020/06/04 00:00:00+00,381200,369553.23,27597,AAR OF NORTH CAROLINA INC,34,Current,,,
36,91200213,FY12 MAINTENANCE ON AFD MOSCAD SYSTEM             ,782,DOVER INSULATION INC.,CLOSED,GS   (GEN SERV),,2012/07/31 00:00:00+00,42585.96,42585.96,11516,"MOTOROLA SOLUTIONS, INC.",35,90+,,,
37,91000491,CONSTRUCTION OF ASTON PARK PLAYGROUND AREA        ,12353,SPL INTEGRATED SOLUTIONS,CLOSED,CON  (CONSTUCT/R),,2010/04/12 00:00:00+00,44687,44687,585,CAROLINA CORNERSTONE CONSTRUCT,36,1-30,,,
38,91300267,VANCE CRESCENT ST. - OLNEY RD SIDEWALK IMPROVEMNTS,2905,WARREN WILSON COLLEGE,CLOSED,CON  (CONSTUCT/R),,2014/04/15 00:00:00+00,192000,182403.76,10431,ARMEN CONSTRUCTION LLC.,37,31-60,,,
39,91500230,INSTALL IRRIGATION-HOLES 10-18 MUNI. GOLF COURSE  ,30733,BOWMAN CONSTRUCTION INC,CLOSED,CON  (CONSTUCT/R),,2015/08/06 00:00:00+00,365000,365000,20274,"FIELD CONSTRUCTION SERVICES, INC.",38,61-90,,,
40,91100480,PUPPET SHOW AT HOWL-O-WEEN                        ,20993,MHC KENWORTH ASHEVILLE,CLOSED,GS   (GEN SERV),,2010/09/30 00:00:00+00,250,250,7306,MOUNTAIN MARIONETTES,39,31-60,,,
41,92100193,GEN OP SUPPORT OF SPORTS COMMISSION PROGRAMS      ,20617,CAROLINA SMALL BUSINESS DEVELOPMENT FUND,CLOSED,GS   (GEN SERV),,2021/06/29 00:00:00+00,45000,45000,12914,ASHEVILLE-BUNCOMBE REGIONAL SPORTS COMMISSION,40,61-90,,,
42,92100275,BURTON ST PARKS AND REC WIFI PROJECT              ,7265,SIMPLEXGRINNELL,CLOSED,GS   (GEN SERV),,2021/01/15 00:00:00+00,18001.97,18001.97,21051,"BROOKS NETWORK SERVICES, LLC",41,61-90,,,
43,91000567,TENNIS TOURNAMENT OFFICIAL                        ,13108,"MULLOY LAND SURVEYING, PLLC",CLOSED,GS   (GEN SERV),,2010/05/18 00:00:00+00,250,250,5720,JUDY EUBANKS,42,61-90,,,
44,92000502,LETTER OF AGREEMENT FOR SOG BECHMARKING PROJECT   ,15179,"COLE JENEST & STONE, PA",CLOSED,GS   (GEN SERV),,2020/06/18 00:00:00+00,10000,10000,5763,SCHOOL OF GOVERNMENT,43,31-60,,,
45,92100466,METASYS SERVICE CONTRACT FOR HCCA AUTOMATION SYSTE,13266,"STRATEGIC WORKPLACE SOLUTIONS, INC.",CLOSED,GS   (GEN SERV),,2021/08/03 00:00:00+00,13410,13410,5519,"JOHNSON CONTROLS, INC.",44,1-30,,,
46,91900308,GREEN OPPORTUNITIES EXPANDING EMPLOY FY 18-19     ,9147,BROTHER WOLF CANINE RESCUE INC,CLOSED,HUD (GEN SERV-HUD),CDBG,2020/06/15 00:00:00+00,150000,150000,9012,GREEN OPPORTUNITIES INC,45,61-90,,,
47,92100383,PEBBLE CREEK STREAM STABILIZATION'                ,526,COCA COLA BOTTLING,POSTED,CON  (CONSTUCT/R),,2021/11/01 00:00:00+00,354816,354816,33805,AUSTIN CONSTRUCTION AND GRADING COMPANY,46,1-30,,,
48,91800316,TRANSFER OF SLUDGE RESIDUALS FROM WATER PLANTS    ,7820,BRET MATTHEW MOORE DBA,CLOSED,GS   (GEN SERV),,2018/05/25 00:00:00+00,49535,49395,8364,"EMA RESOURCES, INC",47,61-90,,,
49,91100302,HELP SET UP STAGES FOR BELE CHERE 10              ,2322,SKA CONSULTING ENGINEERS ASSOCIATES INC.,CLOSED,GS   (GEN SERV),,2010/08/06 00:00:00+00,1615.32,1615.32,3353,I A T S E LOCAL 278,48,31-60,,,
50,92100517,POOL RENTAL AGREEMENT                             ,25838,DAYBREAK INC.,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,25520,25520,2926,Y W C A,49,61-90,,,
51,91100586,DOOR REPAIRS IN THE PARKING GARAGES               ,30209,"HAROLD A. TALBERT, JR. IRREVOCABLE TRUST",CLOSED,GS   (GEN SERV),,2013/07/24 00:00:00+00,5000,4474.09,1343,ICI DOOR CONTROL,50,31-60,,,
52,92000341,                                                  ,33304,TURF DYNAMICS INC.,CLOSED,GS   (GEN SERV),,2020/02/12 00:00:00+00,7490.28,7490.28,10512,"BP SOLUTIONS GROUP, INC.",51,61-90,,,
53,91900227,PROVIDE STORMWATER POLLUTION PREVENTION PERMIT NCG,5891,PRECISION WEIGHING INC,CLOSED,PRO  (PRO SERVIC),,2021/05/14 00:00:00+00,7000,6973.44,12332,"WOOD ENVIRONMENT & INFRASTRUCTURE SOLUTIONS, INC.",52,1-30,,,
54,91700212,APPALACHIAN SUST AG SUSTAINABLE AG PROD FY 16-17  ,24482,"NOVUS BEW ASHEVILLE, LLC",CLOSED,GS   (GEN SERV),STRATEGIC PARTNER,2018/06/07 00:00:00+00,5000,4914.2,19645,APPALACHIAN SUSTAINAINABLE AGRICULTURE PROJECT,53,90+,,,
55,91900275,PAINT EXTERIOR SIDING OF BUILDING                 ,9010,PISGAH VIEW COMMUNITY PEACE GARDEN,CLOSED,GS   (GEN SERV),,2020/02/25 00:00:00+00,6000,6000,31351,ERICK LEE,54,Current,,,
56,92000096,RICHMOND HILL RESTROOM & PAVILLION                ,7685,BANK FINANCIAL FSB,CLOSED,CON  (CONSTUCT/R),,2019/09/27 00:00:00+00,336228,0,32900,"WTAPS, LLC",55,90+,,,
57,92100308,WEAVER PARK BRIDGE ENGINEERING                    ,11201,"QUALITY SEALCOATING & SPORT SURFACES, LLC",POSTED,PRO  (PRO SERVIC),EXEMPTION,2021/08/20 00:00:00+00,43970,43970,36326,"FLOODFOCUS ENGINEERING, INC.",56,Current,,,
58,91700121,2- QUALITY STEEL TANKS   1450 GAL. FOR SPIVEY MOUN,13931,"KOSTELEC PLANNING, LLC.",CLOSED,GS   (GEN SERV),,2017/05/10 00:00:00+00,15228,14231.78,8768,SOUTHERN STATES COOPERATIVE,57,31-60,,,
59,91100670,REPAIR OF SUBMERSIBLE INTAKE PUMPS MR WTP         ,3991,G & S FENCE COMPANY,CLOSED,GENERAL,,2012/06/29 00:00:00+00,9451.85,6859,8157,ITT WATER & WASTEWATER USA,58,90+,,,
60,91100427,REAL ESTATE ADVISORY SERVICES FOR DOWNTOWN PARKING,20175,"ALTA PLANNING & DESIGN, INC.",CLOSED,GS   (GEN SERV),,2013/10/11 00:00:00+00,15000,15000,7919,"REAL ESTATE RESEARCH CONSULTANTS, INC.",59,Current,,,
61,91100055,STAFFING BEVERAGE STATION                         ,21649,BIZODO INC.,CLOSED,GS   (GEN SERV),,2010/07/01 00:00:00+00,5000,5000,7221,CATALOOCHEE SKI PATROL,60,Current,,,
62,92000150,19-20 SPF FOR YWCA SWIM EQUITY                    ,36393,TLG LEASING INC.,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,8335,8335,2926,Y W C A,61,61-90,,,
63,92000239,MCCORMICK FIELD WATER LINES                       ,7650,MELISSA NICOLE PHELPS,CLOSED,CON  (CONSTUCT/R),,2019/11/06 00:00:00+00,26000,26000,12971,T. P. HOWARDS PLUMBING CO INC,62,31-60,,,
64,91100170,SUMMER CAMP FACILITATOR - JEFF MENZER WEEK 9      ,7727,EMPLOYEE ASSISTANCE NETWORK IN,CLOSED,INS  (INSTRUCTOR),,2010/07/14 00:00:00+00,1550,1550,7544,JT MENZER DBA THE NATURAL GARDENER,63,90+,,,
65,91500116,INSTALL NEW BACKFLOW FOR USCC                     ,10098,AMERICAN IMAGE GRAPHICS CORP.,CLOSED,GS   (GEN SERV),,2015/06/17 00:00:00+00,8482,8482,7265,SIMPLEXGRINNELL,64,Current,,,
66,91800411,AGREEMENT FOR THE 2017 WINTER LIGHTS EVENT        ,4007,HERC RENTALS INC,CLOSED,GS   (GEN SERV),SERVICE,2018/07/19 00:00:00+00,7000,7000,6812,NC ARBORETUM SOCIETY,65,90+,,,
67,92000273,CAYLA CONSULTING CONTRACT                         ,7947,MOUNTAIN BIZWORKS INC,POSTED,GS   (GEN SERV),SERVICE,2021/08/20 00:00:00+00,16000,16000,10235,ERIKA GERMER,66,31-60,,,
68,91600333,ENGINEERING FOR PERMIT- WNCNC ENTRY CONSTRUCTION  ,12989,"HEALTH CLAIMS CONSULTANTS, INC.",CLOSED,PRO  (PRO SERVIC),,2018/05/21 00:00:00+00,49885,49885,14496,"HAIZLIP STUDIO, PLLC",67,90+,,,
69,91300094,SOIL TRANSPORTATION TO REPUBLIC LANDFILL IN SC    ,10765,KRK COMMUNICATIONS,CLOSED,LW   (DON'T USE),,2013/01/07 00:00:00+00,42500,42350,14080,"A&D ENVIRONMENTAL SERVICES, INC.",68,61-90,,,
70,91600335,GRAPHIC DESIGN RETAINER                           ,9036,JONATHAN SCALES,CLOSED,GS   (GEN SERV),,2017/06/06 00:00:00+00,1560,1560,24937,SLATE COMMUNICATIONS,69,90+,,,
71,92000475,SHELBOURNE ROOF AND ENVELOPE                      ,27196,ANCHOR QEA OF NORTH CAROLINA PLLC,CLOSED,CON  (CONSTUCT/R),,2021/06/29 00:00:00+00,632500,617424,30700,"J BARTHOLOMEW CONSTRUCTION, LLC",70,1-30,,,
72,91000510,NEED CONTRACT TO COMPLETE FY10                    ,12349,BRANTLEY CONSTRUCTION CO. LLC,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,642.09,642.09,5986,G & K SERVICES,71,1-30,,,
73,92200079,AVL 5X5 CAPITAL SUPPORT FOR EDC                   ,11849,JACOSOFT LLC,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,40000,40000,35,ASHEVILLE CHAMBER OF COMMERCE,72,31-60,,,
74,91000277,                                                  ,4335,MATHEWS ARCHITECTURE,CLOSED,GS   (GEN SERV),,2010/02/15 00:00:00+00,750,750,10095,"NOLAND, RAY",73,90+,,,
75,91900281,FRENCH BROAD RIVER GREENWAY WEST .                ,13248,MASONRY PRESERVATION SERVICES INC,CLOSED,PRO  (PRO SERVIC),EXEMPTION,2021/06/08 00:00:00+00,12385,12385,15977,"STEWART ENGINEERING, INC.",74,61-90,,,
76,91700031,200 BINGHAM ROAD - ARCHITECT PHASE II             ,13811,PINNACLE LANDSCAPE LLC.,CLOSED,PRO  (PRO SERVIC),,2018/05/24 00:00:00+00,73000,89500,16964,"MCMILLAN PAZDAN SMITH, LLC",75,Current,,,
77,91600140,LEARNING CENTER - CHILDREN FIRST SPF GRANT FY15-16,10652,CONSOLIDATED ELECTRICAL DIST.,CLOSED,GS   (GEN SERV),,2016/08/01 00:00:00+00,20000,20000,3396,CHILDREN FIRST/COMMUNITIES IN SCHOOLS OF BUNCOMBE,76,1-30,,,
78,91400184,"FLOODLIGHT, POLE LAMPS AND LED FIXTURES- BEE TREE ",1983,ONE YOUTH AT A TIME,CLOSED,GS   (GEN SERV),,2014/02/24 00:00:00+00,5500,5500,1650,"BOLTON CONSTRUCTION AND SERVICE OF WNC, INC.",77,90+,,,
79,91300231,ASTON PARK TENNIS COURT REBUILD                   ,29643,"PROTERRA, INC",CLOSED,CON  (CONSTUCT/R),,2013/05/20 00:00:00+00,40000,37900,16068,"RECREATIONAL VENTURES, INC.",78,1-30,,,
80,91200112,STRUCTURAL CONSTRUCTION DOCUMENTS                 ,22089,"WHITNEY COMMERCIAL REAL ESTATE, LLC",CLOSED,PRO  (PRO SERVIC),,2012/06/27 00:00:00+00,925,625,11892,"TWIN HILLS STRUCTURES, PLLC",79,90+,,,
81,91900079,MDTMT - YOUTH IN PUBLIC HOUSING DISP FY 18-19     ,33441,SHUVONDA HARPER,CLOSED,GS   (GEN SERV),STRATEGIC PARTNER,2020/06/12 00:00:00+00,20000,19998,25937,KL TRAINING SOLUTIONS,80,31-60,,,
82,92200115,JAKE RUSHER PARK - PUBLIC ART                     ,10981,"SUNDANCE POWER SYSTEMS, INC.",POSTED,GS   (GEN SERV),,2021/07/27 00:00:00+00,40000,40000,36743,BB LAB,81,Current,,,
83,91800435,SHILOH ROOF ASSESSMENT AND DESIGN                 ,8643,VALLEYCREST LANDSCAPE DEVELOPM,CLOSED,PRO  (PRO SERVIC),,2020/02/06 00:00:00+00,29230,29230,11797,"REI ENGINEERS, INC.",82,61-90,,,
84,91800387,MGNT DEVELOPMENT AND PERFORMANCE ACCOUNTABILITY   ,9232,"JACKSON ELECTRICAL CONTRACTORS, INC.",CLOSED,GS   (GEN SERV),,2018/07/06 00:00:00+00,7000,7000,29818,STEPHEN S. KAAGAN,83,Current,,,
85,91900263,PARKING ACCESS CONSULTING SERVICES                ,5153,BENNY P JONES,CLOSED,GS   (GEN SERV),,2020/06/02 00:00:00+00,45000,32749.82,31402,"WGI, INC",84,31-60,,,
86,91100192,ATHLETIC OFFICIAL                                 ,9156,MICHAEL BAKER ENGINEERING INC,CLOSED,GS   (GEN SERV),,2013/10/04 00:00:00+00,5000,2846,6366,SEAN EUBANKS,85,90+,,,
87,92000223,19-20 DIRECT ALLOCATION TO ACSF IN REAL LIFE      ,7573,CUSTOM AUDIO AND LIGHTING INC,CLOSED,GS   (GEN SERV),,2021/06/07 00:00:00+00,45000,45000,10229,THE ASHEVILLE CITY SCHOOLS FOUNDATION,86,31-60,,,
88,91600221,TEMP EMPLOYEE                                     ,29194,"APPCITYLIFE, INC    ",CLOSED,GS   (GEN SERV),,2016/08/09 00:00:00+00,10000,12156.02,23850,"APEX SYSTEMS, LLC",87,90+,,,
89,91600284,EVALUATE & DESIGN MCCORMICK FIELD STADIUM         ,34234,MCS ELECTRICAL INC.,CLOSED,PRO  (PRO SERVIC),,2017/03/24 00:00:00+00,180000,156769.86,24482,"NOVUS BEW ASHEVILLE, LLC",88,61-90,,,
90,91900375,RETROFIT 2 EMPLOYEE ENTRY DOORS                   ,4007,HERC RENTALS INC,CLOSED,GS   (GEN SERV),,2020/06/23 00:00:00+00,5290.23,4944.14,2904,WHOLESALE GLASS & MIRROR CO.,89,1-30,,,
91,91600325,REPLACE 75' BALLFIELD LIGHT POLE-BULLMAN          ,34604,NEAT PAINTING,CLOSED,CON  (CONSTUCT/R),,2017/05/26 00:00:00+00,11175,11175,1188,M B HAYNES CORPORATION,90,31-60,,,
92,91400204,REMODEL OF TOURIST LOCKERROOM                     ,10757,"DOWLING, BRYAN C.",CLOSED,CON  (CONSTUCT/R),,2014/05/21 00:00:00+00,6995,6780,10875,"A.B.B.E. CONSTRUCTION AND REMODELING, LLC",91,Current,,,
93,92100277,AMENDMENT 1 ADDING FURTHER GEOTECH                ,11167,"NEFF, KAMERON",POSTED,PRO  (PRO SERVIC),,2021/08/20 00:00:00+00,16720,50000,22628,"JOHN DAVENPORT ENGINEERING, INC.",92,1-30,,,
94,91300194,VEHICLE MAINTENANCE                               ,8474,"TULSA GAS TECHNOLOGIES, INC",CLOSED,GS   (GEN SERV),,2013/01/30 00:00:00+00,10000,30000,2340,SKYLAND VOLUNTEER FIRE DEPT,93,1-30,,,
95,92000348,MCCORMICK EXPLORATORY LINE                        ,11393,"RICKEY, JASON MATTHEW",CLOSED,CON  (CONSTUCT/R),,2020/08/10 00:00:00+00,7004.5,7004.5,12971,T. P. HOWARDS PLUMBING CO INC,94,90+,,,
96,91000237,PEST CONTROL FOR NORTH FORK WTP JAN-DEC 2010      ,3455,IBM CORPORATION,CLOSED,GS   (GEN SERV),,2010/12/17 00:00:00+00,540,558.16,2562,TERMINIX SERVICE,95,61-90,,,
97,91100445,GPS DATA COLLECTION FOR AMR PROJECT               ,8147,MOUNTAIN VOICES ALLIANCE,CLOSED,GS   (GEN SERV),,2019/03/27 00:00:00+00,112000,112258.44,10139,"MUELLER SYSTEMS, LLC",96,1-30,,,
98,91800197,ONTRACK FINANCIAL EDUCATION SPF FY 17-18          ,14480,"ECIVIS, INC.",CLOSED,GS   (GEN SERV),STRATEGIC PARTNER,2018/08/07 00:00:00+00,12000,12000,560,ONTRACK FINANCIAL ED & COUNSEL,97,Current,,,
99,91800348,OPEN SWIM TIME                                    ,33707,"THOMAS LEE PRIESTER, JR.",CLOSED,GS   (GEN SERV),SERVICE,2018/07/17 00:00:00+00,7500,7500,2926,Y W C A,98,1-30,,,
100,91100835,REPAIR/RELOCATE RECEPTACLES - PACK SQUARE         ,8193,US ARMY CORPS OF ENGINEERS,CLOSED,GS   (GEN SERV),,2012/08/30 00:00:00+00,24600,24600,9226,C.T. RING ELECTRICAL CONTRACTING INC.,99,90+,,,
101,92100136,THE BLUE HORIZONS PROJECT                         ,22312,"FRAZER ENTERPRISES, INC.",POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,100000,100000,10119,GREEN BUILT ALLIANCE,100,1-30,,,
102,91500029,CRAVEN STREET IMPROVEMENTS                        ,32406,"XYLEM WATER SOLUTIONS USA, INC.",CLOSED,CON  (CONSTUCT/R),,2018/05/31 00:00:00+00,6901570.66,7115425.62,19199,TENNOCA CONSTRUCTION CO.,101,Current,,,
103,91200337,6TH FLOOR CITY HALL CARPETING                     ,4142,GRIGG ELECTRIC CO. INC,CLOSED,GS   (GEN SERV),,2014/05/19 00:00:00+00,4966,6354.38,2959,PROFESSIONAL BUSINESS INTERIOR** DO NOT USE**,102,90+,,,
104,91700156,ASHEVILLE AREA HABITAT DIRECT HOMEBUYER FY 16-17  ,31262,"ADVANTAGE CIVIL ENGINEERING, PA",CLOSED,HUD (GEN SERV-HUD),HOME,2017/06/26 00:00:00+00,50000,50000,41,ASHEVILLE AREA HABITAT FOR HUM,103,Current,,,
105,91400173,LAKE CRAIG/AZALEA ROAD CONSTRUCTION               ,2642,TOP RUNG TOWER CHIME &,CLOSED,CON  (CONSTUCT/R),,2014/08/05 00:00:00+00,4124110.75,631746.89,5264,YOUNG & MCQUEEN GRADING CO.,104,61-90,,,
106,91200175,RISK MANAGEMENT CONSULTING                        ,8008,JODI CLERE,CLOSED,GS   (GEN SERV),,2014/09/11 00:00:00+00,20000,19883.8,7710,ESSES CONSULTING,105,61-90,,,
107,91100601,LETTER OPENER LEASE L1177-EXT-3                   ,9150,DIFFERENTLY ABLED NEWS NETWORK,CLOSED,LS   (LEASE SVCS),,2012/08/30 00:00:00+00,660,2640,3394,ONTARIO INVESTMENTS INC,106,90+,,,
108,91100786,GREENWORKS OUTSIDE AGENCY GRANT 2010-11           ,6348,PERSONNEL SERVICE GROUP INC,CLOSED,GS   (GEN SERV),,2011/04/28 00:00:00+00,8000,8000,2142,ASHEVILLE GREENWORKS,107,31-60,,,
109,91500166,BOWEN NATIONAL - CON PLAN MARKET STUDY            ,12347,"CAPTURION NETWORK, LLC",CLOSED,GS   (GEN SERV),,2015/06/20 00:00:00+00,29750,29750,19827,"BOWEN NATIONAL RESEARCH, LLC",108,90+,,,
